City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Zyryanka,RU,65.75,150.85,58.03,66,25,8.9,scattered clouds
304,Kaitangata,NZ,-46.2817,169.8464,37.92,76,97,6.35,light rain
305,Cairns,AU,-16.9167,145.7667,67.95,89,24,8.05,few clouds
306,Nizwa,OM,22.9333,57.5333,84.88,63,100,4.03,overcast clouds
307,Selma,US,36.5708,-119.6121,110.03,9,21,3.24,few clouds
308,Teya,RU,60.3778,92.6267,48.85,74,7,3.24,clear sky
309,Port Hedland,AU,-20.3167,118.5667,68.05,100,31,5.75,scattered clouds
310,Dalhousie,IN,32.5333,75.9833,59.79,85,9,4.25,clear sky
311,Axim,GH,4.8699,-2.2405,77.97,80,100,9.86,overcast clouds
312,Longkou,CN,37.6508,120.3286,76.3,94,18,14.56,heavy intensity rain
313,Cockburn Town,TC,21.4612,-71.1419,85.96,66,75,16.11,broken clouds
314,Shaunavon,CA,49.6501,-108.4181,78.58,53,100,12.84,overcast clouds
315,Izumo,JP,35.3667,132.7667,73.35,87,3,4.18,clear sky
316,Omsukchan,RU,62.5333,155.8,56.46,71,94,1.54,overcast clouds
317,Idappadi,IN,11.5833,77.85,76.5,76,100,2.37,overcast clouds
318,Chokurdakh,RU,70.6333,147.9167,45.82,58,62,13.27,broken clouds
319,Dzilam Gonzalez,MX,21.2833,-88.9333,88.16,59,84,12.59,broken clouds
320,Kruisfontein,ZA,-34.0033,24.7314,45.88,78,61,14.43,broken clouds
321,Shibetsu,JP,43.659,145.132,59.4,96,88,5.64,overcast clouds
322,Jalu,LY,29.0331,21.5482,87.71,32,0,15.21,clear sky
323,Lapua,FI,62.9693,23.0088,65.08,82,6,2.01,clear sky
324,Puerto Escondido,MX,15.85,-97.0667,86.34,68,100,6.42,overcast clouds
325,Necochea,AR,-38.5473,-58.7368,49.03,62,0,3.33,clear sky
326,Aklavik,CA,68.2191,-135.0107,66.92,59,100,18.63,overcast clouds
327,Sao Filipe,CV,14.8961,-24.4956,73.83,84,100,3.89,overcast clouds
328,Kalmunai,LK,7.4167,81.8167,81.14,73,100,6.06,overcast clouds
329,Beloha,MG,-25.1667,45.05,65.55,66,0,4.65,clear sky
330,Marsa Matruh,EG,31.3525,27.2453,79.0,78,0,5.75,clear sky
331,Heishan,CN,41.6892,122.1128,73.92,97,99,11.34,light rain
332,Tabou,CI,4.423,-7.3528,76.86,80,63,9.91,broken clouds
333,Nikel,RU,69.4128,30.222,60.98,92,100,6.08,light rain
334,Green River,US,41.5286,-109.4662,94.19,11,99,14.79,overcast clouds
335,Itoman,JP,26.1247,127.6694,82.42,83,40,3.44,scattered clouds
336,Ahipara,NZ,-35.1667,173.1667,51.55,73,6,7.67,clear sky
