City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Sumenep,ID,77.11,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
451,La Ciotat,FR,70.57,broken clouds,43.1748,5.6045,ibis La Ciotat
453,Praya,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
454,Ariano Irpino,IT,73.85,clear sky,41.1489,15.0833,Hotel Incontro
456,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
457,Kaohsiung,TW,81.03,few clouds,22.6163,120.3133,御宿商旅-中山館
460,New Glasgow,CA,77.92,overcast clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
461,Lorengau,PG,82.02,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
462,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
464,Jega,NG,84.79,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
472,Yenagoa,NG,74.98,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
475,Caraquet,CA,75.78,few clouds,47.7941,-64.9386,Gite Le Poirier
478,Barabai,ID,72.7,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
479,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
484,Larap,PH,77.04,overcast clouds,14.299,122.6504,Montemayor Cove
487,Esmeraldas,BR,73.51,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
488,Biak,ID,75.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
493,Samarai,PG,79.07,broken clouds,-10.6167,150.6667,Nuli Sapi
496,Turka,UA,71.15,clear sky,49.1541,23.0297,Мотель
498,Senador Jose Porfirio,BR,80.71,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
501,Zharkent,KZ,70.47,overcast clouds,44.1628,80.0,гостиница Satti
508,Kinkala,CG,71.91,clear sky,-4.3614,14.7644,Hotel la Pepeche Kinkala
510,Bud,US,81.21,broken clouds,39.447,-86.1758,Ted McQuinn Trust
514,Gannan,CN,72.72,overcast clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
517,Bontang,ID,75.85,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
522,San Patricio,US,88.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
523,Pangkalanbuun,ID,73.78,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
526,Sibolga,ID,75.16,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
527,Lagos,NG,80.92,light rain,6.5833,3.75,
529,Erenhot,CN,78.53,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
530,Praia Da Vitoria,PT,71.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
531,Kalianget,ID,78.42,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
534,Hita,JP,78.28,broken clouds,33.3167,130.9333,Hinano Sato Sanyokan
535,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
536,Parnarama,BR,85.55,few clouds,-5.6817,-43.0933,Aluguel de apartamentos
538,Padang,ID,75.67,overcast clouds,-0.9492,100.3543,Mercure Padang
539,Ciudad Guayana,VE,84.96,broken clouds,8.3533,-62.6528,Hotel Las Americas
540,Lazaro Cardenas,MX,86.05,scattered clouds,17.9583,-102.2,quinta antigua
542,Leninskoye,KZ,73.33,scattered clouds,41.7589,69.3864,
543,Santa Isabel,BR,76.78,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
544,Pemangkat,ID,77.54,overcast clouds,1.1667,108.9667,Ramah Kost KITA
547,Muroto,JP,78.28,clear sky,33.2833,134.15,Oota Ryokan
550,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
551,Smithers,CA,77.32,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
554,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
559,Cabo Rojo,PR,86.97,overcast clouds,18.0866,-67.1457,Hotel Perichi's
563,Grand-Santi,GF,79.14,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
564,Shimoda,JP,74.1,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
566,Ternate,ID,80.37,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
570,Sept-Iles,CA,73.92,scattered clouds,50.2001,-66.3821,Comfort Inn
571,Ottawa,CA,83.52,broken clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
574,Bekesszentandras,HU,82.45,clear sky,46.8667,20.4833,Liget Wellness és Konferencia Hotel
578,La Tebaida,CO,83.97,broken clouds,4.4527,-75.7875,El Triángulo
579,Tukrah,LY,78.37,clear sky,32.5341,20.5791,Lokta restaurant
580,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
581,Gushikawa,JP,81.63,overcast clouds,26.3544,127.8686,Kirari Guest House
585,Hendersonville,US,85.42,scattered clouds,36.3048,-86.62,Hyatt Place Nashville/Hendersonville
586,Cintalapa,MX,81.97,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
588,Machilipatnam,IN,78.48,overcast clouds,16.1667,81.1333,R&B Bungalow
591,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
592,Oriximina,BR,86.05,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
593,Altamira,BR,89.69,few clouds,-3.2033,-52.2064,Requinte Hotel
596,Gilgit,PK,77.63,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
597,Tirumullaivasal,IN,81.54,overcast clouds,11.2333,79.8333,My own house
599,Trogir,HR,88.79,clear sky,43.5125,16.2517,Hotel Medena
600,Singapore,SG,78.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
601,Takoradi,GH,77.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
602,Palmer,US,72.14,overcast clouds,42.1584,-72.3287,Wedgewood Motel
603,Kokoda,PG,72.21,few clouds,-8.8785,147.7407,Daito Guest House
604,Celestun,MX,87.01,scattered clouds,20.8667,-90.4,Posada Lilia
608,Les Cayes,HT,84.02,scattered clouds,18.2,-73.75,Villa Orphee
609,Ostersund,SE,70.25,overcast clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
612,Semporna,MY,77.2,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
614,Kijang,KR,78.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
617,Fort Nelson,CA,78.39,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
619,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
622,Xique-Xique,BR,80.37,clear sky,-10.8218,-42.7263,Hotel J. Macedo
623,Inhambane,MZ,71.44,scattered clouds,-23.865,35.3833,Oceano
624,Key West,US,87.01,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
625,Dicabisagan,PH,77.61,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
626,Lebanon,US,85.1,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
627,Pavlovskiy Posad,RU,75.61,clear sky,55.7847,38.6506,Gostevoy Domik Pavlovsky Posad
630,Reconquista,AR,71.67,moderate rain,-29.15,-59.65,Grand Hotel
631,Prainha,BR,81.9,broken clouds,-1.8,-53.48,Casa Rocha
637,Mumford,GH,77.23,overcast clouds,5.2618,-0.759,Spanish Villa
638,Kathu,TH,84.69,moderate rain,7.9178,98.3332,Novotel Phuket Resort
639,Matagami,CA,80.71,broken clouds,49.7502,-77.6328,Hôtel Matagami
641,Inirida,CO,79.07,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
642,Sault Sainte Marie,CA,71.89,overcast clouds,46.5168,-84.3333,Comfort Inn
643,Ugoofaaru,MV,82.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
644,Januaria,BR,74.64,clear sky,-15.4833,-44.3667,Hotel Paraguassu
645,Chapada Dos Guimaraes,BR,85.66,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
646,Aleppo,SY,79.5,clear sky,36.25,37.5,
648,South Venice,US,84.0,light rain,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
651,Sobolevo,RU,75.61,overcast clouds,54.4299,31.8996,
652,Port Hawkesbury,CA,76.08,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
653,Xochistlahuaca,MX,89.58,broken clouds,16.7833,-98.25,La frontera
656,Asahi,JP,74.19,overcast clouds,35.7167,140.65,Hotel Acty Exive
658,Mozarlandia,BR,83.53,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
659,Shirgaon,IN,79.92,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
661,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Udaya Boys Hostel
